v (1/cm),k,n
9000,0,1.325
8500,0,1.322
8000,0,1.32
7500,0,1.317
7000,0,1.314
6500,0,1.31
6000,0,1.306
5750,0,1.303
5500,0,1.3
5400,0,1.298
5350,0,1.297
5300,0.0006,1.296
5275,0.0011,1.296
5250,0.0016,1.295
5200,0.002,1.295
5150,0.002,1.295
5100,0.0017,1.295
5050,0.0015,1.294
5000,0.0012,1.293
4800,0.0006,1.289
4600,0.0004,1.283
4400,0.0003,1.275
4200,0.0007,1.264
4000,0.0019,1.245
3800,0.0034,1.206
3760,0.0047,1.191
3720,0.0083,1.167
3680,0.0267,1.13
3640,0.0722,1.107
3600,0.118,1.103
3580,0.144,1.104
3560,0.169,1.108
3540,0.195,1.116
3520,0.223,1.131
3500,0.246,1.149
3480,0.267,1.171
3460,0.287,1.199
3440,0.3,1.23
3420,0.305,1.266
3410,0.306,1.281
3400,0.306,1.297
3390,0.303,1.313
3380,0.299,1.328
3360,0.284,1.356
3340,0.272,1.375
3320,0.258,1.393
3300,0.243,1.409
3280,0.23,1.422
3260,0.215,1.436
3240,0.2,1.449
3220,0.183,1.46
3210,0.173,1.465
3180,0.141,1.473
3160,0.122,1.473
3140,0.103,1.47
3100,0.0736,1.46
3060,0.0528,1.447
3040,0.0439,1.439
3000,314,1.426
2960,0.0221,1.413
2920,0.0157,1.402
2880,0.0111,1.392
2840,0.0083,1.383
2800,0.0062,1.375
2750,0.0046,1.366
2700,0.0037,1.359
2650,0.0034,1.352
2600,0.0035,1.346
2550,0.0039,1.341
2500,0.0047,1.336
2450,0.0056,1.332
2400,0.0067,1.328
2350,0.0081,1.324
2300,0.0099,1.321
2275,0.011,1.319
2250,0.0122,1.318
2225,0.0134,1.317
2200,0.0147,1.316
2175,0.0158,1.316
2150,0.0166,1.316
2125,0.0171,1.316
2100,0.017,1.316
2075,0.0164,1.316
2050,0.0155,1.315
2025,0.0144,1.314
2000,0.0132,1.313
1950,0.0114,1.308
1900,0.0106,1.301
1850,0.0111,1.293
1800,0.0137,1.281
1760,0.0194,1.268
1740,0.0264,1.258
1720,0.0384,1.247
1700,0.0594,1.238
1680,0.0933,1.242
1670,0.11,1.252
1660,0.124,1.267
1650,0.134,1.288
1645,0.136,1.303
1640,0.134,1.318
1630,0.123,1.34
1620,0.105,1.354
1610,0.0874,1.359
1600,0.0728,1.359
1590,0.0604,1.354
1580,0.0535,1.35
1560,0.0449,1.342
1540,0.0404,1.336
1500,0.0361,1.327
1475,0.035,1.323
1450,0.0343,1.32
1425,0.0339,1.316
1400,0.0338,1.314
1375,0.0339,1.311
1350,0.0341,1.308
1300,0.0345,1.301
1275,0.0349,1.295
1250,0.0344,1.295
